EncuestaViaje_id,EncuestaHogar_id,EncuestaPersona_id,Estrato,sexo,edad,parentesco,TamanoHogar,Motorizacion,zatHogar,MzatHogar,DptoHogar,Anillo,zonaimm,zato,MzatO,AnilloOrigenViaje,zatd,Mzatd,AnilloDestinoViaje,CategoriaViaje,CategoriaViajeHB,HaciaoDesdeEstudio,Numeroviaje,NUMEROETAPA,MedioTransporte,ModoDesagregado,ModoAgregado,ModoViajeCompleto,ModoPrincipal,ModoPrincipalAgregado,CUADRASCAMINADAS,CUADRASCAMINADASDESPUES,siesapie,MOTIVOCUADRASAPIE,MOTIVOCUADRASAPIEOTRO,TIPOESTACIONAMIENTO,COSTOESTTIEMPOENUM,COSTOESTACIONAMIENTO,CostoestacionamientoxViaje,CostoestacionamientoEnHogar,CostoEstacionamientoxViajeTotal,COSTOPEAJE,PERSONASCONUSTED,COSTOTAXI,PAGOUSTEDTAXI,PERSONASCONUSTEDTAXI,COSTOTAXIPagado,LINEAFERROCARRIL,ESTACIONENTRADAFERROCARRIL,ESTACIONSALIDAFERROCARRIL,LineaOmnibus,LineaOMNIBUSDESTINO,TIPOLINEAOMNIBUS,TIPOBOLETOOMNIBUS,BoletoOmnibus,BoletoOmnibusDesagregado,PuntoTransferencia,CANTIDADBOLETOSOMNIBUS,COSTOTARIFA,CostoTarifaxViaje,Ponderacion
3155,3150,3154,3,2,33,2,5 o mas Personas,1 Auto-Otro,63,3,1,Montevideo,Este,63,3,Montevideo,84,3,Montevideo,Hogar-Otros,HBNW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus - Omnibus,Omnibus,Omnibus,,0,,0,,0,0,0,0,0,0,,,,0,,,,,,144,8 DE OCTUBRE,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,319.0849638187
2915,2913,2914,4,2,38,1,3 o 4 Personas,1 Auto-Otro,51,11,1,Montevideo,Este,51,11,Montevideo,15,4,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,427,PASO DE LA ARENA,5,5,Boleto comun,Boleto comun,,1,16,16,280.6468477857
9428,7351,8182,2,1,47,1,2 Personas,No Posee,73,3,1,Montevideo,Este,34,4,Montevideo,73,3,Montevideo,Hogar-Trabajo,HBW,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,7,,0,,0,0,0,0,0,0,,,,0,,,,,,109,NO SE,5,11,Gratuito/Pase libre,Gratuito/Pase libre,,1,0,0,404.8676398842
11213,7757,9100,2,2,23,3,3 o 4 Personas,1 Auto-Otro,73,3,1,Montevideo,Este,73,3,Montevideo,29,4,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,0,,0,,0,0,0,0,0,0,,,,0,,,,,,183,No se ,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,540.9815081889
11214,7757,9100,2,2,23,3,3 o 4 Personas,1 Auto-Otro,73,3,1,Montevideo,Este,29,4,Montevideo,100,9,Montevideo,Otros,NHB,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,3,,0,,0,0,0,0,0,0,,,,0,,,,,,505,No se ,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,540.9815081889
3376,3374,3375,4,2,65,1,1 Persona,Auto o Mas de 2 Vehiculos ,47,2,1,Montevideo,Este,47,2,Montevideo,52,11,Montevideo,Hogar-Otros,HBNW,0,1,2,12,Pie 10 cuadras o mas,Pie,Omnibus - Pie,Omnibus,Omnibus,0,0,12,3,,0,0,0,0,0,0,,,,0,,,,,,,,,0,SIN CONTESTAR,SIN CONTESTAR,,,,,226.7973023737
2594,2589,2593,4,2,43,2,3 o 4 Personas,Mas de Auto-Otro-Moto,48,2,1,Montevideo,Este,48,2,Montevideo,90,10,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,300,Km 16,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,132.9379805301
2595,2589,2593,4,2,43,2,3 o 4 Personas,Mas de Auto-Otro-Moto,48,2,1,Montevideo,Este,90,10,Montevideo,48,2,Montevideo,Hogar-Trabajo,HBW,0,2,2,3,Taxi,Taxi - Remis,Omnibus - Taxi,Omnibus,Omnibus,,0,,0,,0,0,0,0,0,0,,,70,1,0,70,,,,,,,0,SIN CONTESTAR,SIN CONTESTAR,,,,,132.9379805301
6913,6855,6881,3,2,52,2,2 Personas,No Posee,58,11,1,Montevideo,Este,58,11,Montevideo,16,1,Montevideo,Hogar-Trabajo,HBW,0,1,2,12,Pie 10 cuadras o mas,Pie,Omnibus - Pie,Omnibus,Omnibus,,0,11,0,,0,0,0,0,0,0,,,,0,,,,,,,,,0,SIN CONTESTAR,SIN CONTESTAR,,,,,323.97432443
2546,2544,2545,4,2,44,1,3 o 4 Personas,1 Auto-Otro,48,2,1,Montevideo,Este,48,2,Montevideo,164,20,Segundo Anillo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Suburbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,0,,0,,0,0,0,0,0,0,,,,0,,,,,,710,Parque del Plata,6,11,Gratuito/Pase libre,Gratuito/Pase libre,,1,0,0,787.7806253635
10637,7617,8797,2,1,31,4,3 o 4 Personas,1 Moto,87,10,1,Montevideo,Este,17,4,Montevideo,87,10,Montevideo,Hogar-Trabajo,HBW,0,2,2,12,Pie 10 cuadras o mas,Pie,Omnibus - Pie,Omnibus,Omnibus,0,0,15,2,,0,0,0,0,0,0,,,,0,,,,,,,,,0,SIN CONTESTAR,SIN CONTESTAR,,,,,269.4518846174
10347,7558,8663,3,1,17,11,3 o 4 Personas,No Posee,87,10,1,Montevideo,Este,87,10,Montevideo,62,3,Montevideo,Hogar-Estudio,HBNW,1,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,3,,0,,0,0,0,0,0,0,,,,0,,,,,,402,Malvin,5,8,Estudiante,Estudiante,,25,200,8,888.3573681597
11286,7772,9132,3,2,35,2,3 o 4 Personas,No Posee,76,3,1,Montevideo,Este,37,2,Montevideo,76,3,Montevideo,Hogar-Estudio,HBNW,1,3,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,2,,0,,0,0,0,0,0,0,,,,0,,,,,,102,GRUTA DE LURDEZ,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Sin Transferencia,,1,0,0,494.9878961937
7829,7028,7354,1,1,17,3,3 o 4 Personas,1 Moto,102,15,1,Montevideo,Este,102,15,Montevideo,141,9,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,3,,0,,0,0,0,0,0,0,,,,0,,,,,,149,POCITOS,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,266.6451022187
7832,7028,7354,1,1,17,3,3 o 4 Personas,1 Moto,102,15,1,Montevideo,Este,141,9,Montevideo,102,15,Montevideo,Hogar-Trabajo,HBW,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,2,,0,,0,0,0,0,0,0,,,,0,,,,,,330,TOLEDO CHICO,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,266.6451022187
12346,8015,9716,1,1,48,1,5 o mas Personas,1 Moto,103,15,1,Montevideo,Este,103,15,Montevideo,46,2,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,141,aduana,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,290.7448678669
12347,8015,9716,1,1,48,1,5 o mas Personas,1 Moto,103,15,1,Montevideo,Este,46,2,Montevideo,103,15,Montevideo,Hogar-Trabajo,HBW,0,2,2,12,Pie 10 cuadras o mas,Pie,Omnibus - Pie,Omnibus,Omnibus,0,0,30,6,paro de trasporte,0,0,0,0,0,0,,,,0,,,,,,,,,0,SIN CONTESTAR,SIN CONTESTAR,,,,,290.7448678669
6109,6107,6108,1,2,43,1,5 o mas Personas,No Posee,103,15,1,Montevideo,Este,5,1,Montevideo,103,15,Montevideo,Hogar-Otros,HBNW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,2,,0,,0,0,0,0,0,0,,,,0,,,,,,169,instrucciones,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Transferencia,1,1,0,0,1359.5518211671
6110,6107,6108,1,2,43,1,5 o mas Personas,No Posee,103,15,1,Montevideo,Este,103,15,Montevideo,5,1,Montevideo,Hogar-Trabajo,HBW,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,2,,0,,0,0,0,0,0,0,,,,0,,,,,,110,ciudadela,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Transferencia,1,1,0,0,1359.5518211671
8220,7107,7581,1,1,24,1,2 Personas,No Posee,105,25,1,Montevideo,Este,105,25,Montevideo,1,1,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,5,,0,,0,0,0,0,0,0,,,,0,,,,,,169,ADUANA,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,159.0489211876
8221,7107,7581,1,1,24,1,2 Personas,No Posee,105,25,1,Montevideo,Este,1,1,Montevideo,105,25,Montevideo,Hogar-Trabajo,HBW,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,L2,CNO MALDONADO KM 16,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,159.0489211876
10653,7623,8811,2,2,13,4,3 o 4 Personas,No Posee,105,25,1,Montevideo,Este,98,9,Montevideo,105,25,Montevideo,Hogar-Otros,HBNW,0,4,2,5,Omnibus Urbano,Omnibus,Pie - Omnibus,Omnibus,Omnibus,3.5,6,,0,,0,0,0,0,0,0,,,,0,,,,,,505,andaluz,5,10,Zonal/Local,Zonal/Local,,1,8,8,235.7703990402
12087,7969,9588,2,2,36,1,5 o mas Personas,No Posee,105,25,1,Montevideo,Este,105,25,Montevideo,36,2,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,192,Parque Rodo,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,358.60589904
12090,7969,9588,2,2,36,1,5 o mas Personas,No Posee,105,25,1,Montevideo,Este,36,2,Montevideo,105,25,Montevideo,Hogar-Trabajo,HBW,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,3,,0,,0,0,0,0,0,0,,,,0,,,,,,505,Andaluz,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,358.60589904
12093,7969,9590,2,1,13,4,5 o mas Personas,No Posee,105,25,1,Montevideo,Este,105,25,Montevideo,103,15,Montevideo,Hogar-Estudio,HBNW,1,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,300,Instrucciones,5,8,Estudiante,Estudiante,,50,0,0,358.60589904
12095,7969,9590,2,1,13,4,5 o mas Personas,No Posee,105,25,1,Montevideo,Este,103,15,Montevideo,105,25,Montevideo,Hogar-Estudio,HBNW,1,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,3,,0,,0,0,0,0,0,0,,,,0,,,,,,505,Cno Andaluz,5,8,Estudiante,Estudiante,,50,0,0,358.60589904
5697,5695,5696,2,1,41,1,5 o mas Personas,Mas de Auto-Otro-Moto,88,10,1,Montevideo,Este,88,10,Montevideo,64,3,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,0,,0,,0,0,0,0,0,0,,,,0,,,,,,402,malvin,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Transferencia,1,1,0,0,1149.8157397789
10313,7554,8645,2,2,31,1,3 o 4 Personas,No Posee,88,10,1,Montevideo,Este,88,10,Montevideo,37,2,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,4,,0,,0,0,0,0,0,0,,,,0,,,,,,405,p. rodo,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Transferencia,1,1,0,0,682.9891540885
10314,7554,8645,2,2,31,1,3 o 4 Personas,No Posee,88,10,1,Montevideo,Este,37,2,Montevideo,88,10,Montevideo,Hogar-Trabajo,HBW,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,300,inst,5,3,Boleto 1 hora,Boleto 1 hora,,1,16,16,682.9891540885
12213,7985,9652,2,1,53,1,5 o mas Personas,1 Auto-Otro,86,9,1,Montevideo,Este,86,9,Montevideo,45,2,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,5,,0,,0,0,0,0,0,0,,,,0,,,,,,183,Pocitos,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Sin Transferencia,,1,0,0,2714.9223637509
12230,7986,9659,3,1,49,1,5 o mas Personas,No Posee,104,10,1,Montevideo,Este,104,10,Montevideo,31,4,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,195,Cerro,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Sin Transferencia,,1,0,0,779.1783905542
12231,7986,9659,3,1,49,1,5 o mas Personas,No Posee,104,10,1,Montevideo,Este,31,4,Montevideo,104,10,Montevideo,Hogar-Trabajo,HBW,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,3,,0,,0,0,0,0,0,0,,,,0,,,,,,103,Cno. Maldonado,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Sin Transferencia,,1,0,0,779.1783905542
11758,7885,9369,1,1,54,1,3 o 4 Personas,1 Moto,98,9,1,Montevideo,Este,98,9,Montevideo,86,9,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,5,,0,,0,0,0,0,0,0,,,,0,,,,,,192,Parque Rodó,5,3,Boleto 1 hora,Boleto 1 hora,,1,16,16,422.5678192029
11759,7885,9369,1,1,54,1,3 o 4 Personas,1 Moto,98,9,1,Montevideo,Este,86,9,Montevideo,98,9,Montevideo,Hogar-Trabajo,HBW,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,405,Parque Rodó,5,3,Boleto 1 hora,Boleto 1 hora,,1,16,16,422.5678192029
11760,7885,9369,1,1,54,1,3 o 4 Personas,1 Moto,98,9,1,Montevideo,Este,98,9,Montevideo,86,9,Montevideo,Hogar-Trabajo,HBW,0,3,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,5,,0,,0,0,0,0,0,0,,,,0,,,,,,192,Parque Rodó,5,3,Boleto 1 hora,Boleto 1 hora,,1,16,16,422.5678192029
11761,7885,9369,1,1,54,1,3 o 4 Personas,1 Moto,98,9,1,Montevideo,Este,86,9,Montevideo,98,9,Montevideo,Hogar-Trabajo,HBW,0,4,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,405,Parque Rodó,5,3,Boleto 1 hora,Boleto 1 hora,,1,16,16,422.5678192029
11764,7885,9370,1,2,39,2,3 o 4 Personas,1 Moto,98,9,1,Montevideo,Este,98,9,Montevideo,103,15,Montevideo,Hogar-Estudio,HBNW,1,3,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,169,Toledo,5,3,Boleto 1 hora,Boleto 1 hora,,1,16,16,422.5678192029
11767,7885,9374,1,2,13,3,3 o 4 Personas,1 Moto,98,9,1,Montevideo,Este,98,9,Montevideo,86,9,Montevideo,Hogar-Estudio,HBNW,1,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,192,Parque Rodó,5,8,Estudiante,Estudiante,,50,0,0,422.5678192029
11768,7885,9374,1,2,13,3,3 o 4 Personas,1 Moto,98,9,1,Montevideo,Este,86,9,Montevideo,98,9,Montevideo,Hogar-Estudio,HBNW,1,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,405,Parque Rodó,5,8,Estudiante,Estudiante,,50,0,0,422.5678192029
